Statistical profiling result from naudodon-neo.log, (2136 ticks, 678 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    4.0%        JS: ~resolveExports node:internal/modules/cjs/loader:579:24
      1  100.0%          JS: ~Module._findPath node:internal/modules/cjs/loader:608:28
      1  100.0%            JS: ~Module._resolveFilename node:internal/modules/cjs/loader:1056:35
      1    4.0%        JS: ~newHandle node:internal/dgram:32:19
      1  100.0%          JS: ~Socket node:dgram:104:16
      1  100.0%            JS: ~createSocket node:dgram:163:22
      1    4.0%        JS: ~load node:internal/modules/esm/loader:399:13
      1  100.0%          JS: ~moduleProvider node:internal/modules/esm/loader:285:7
      1  100.0%            JS: ~ModuleJob node:internal/modules/esm/module_job:55:14
      1    4.0%        JS: ~getTranslators node:internal/modules/esm/loader:52:24
      1  100.0%          JS: ~ModuleLoader node:internal/modules/esm/loader:82:20
      1  100.0%            JS: ~ModuleLoader node:internal/modules/esm/loader:126:14
      1    4.0%        JS: ~getHooksProxy node:internal/modules/esm/loader:562:23
      1  100.0%          JS: ~CustomizedModuleLoader node:internal/modules/esm/loader:457:14
      1  100.0%            JS: ~register node:internal/modules/esm/loader:330:11
      1    4.0%        JS: ~get BlockList node:net:2414:16
      1  100.0%          Builtin: ReflectGet
      1  100.0%            JS: ~getOwn node:internal/bootstrap/realm:204:16
      1    4.0%        JS: ~<anonymous> node:readline:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    4.0%        JS: ~<anonymous> node:net:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    4.0%        JS: ~<anonymous> node:internal/streams/readable:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    4.0%        JS: ~<anonymous> node:internal/streams/end-of-stream:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    4.0%        JS: ~<anonymous> node:internal/streams/duplex:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    4.0%        JS: ~<anonymous> node:internal/modules/esm/get_format:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    4.0%        JS: ~<anonymous> node:internal/crypto/pbkdf2:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    4.0%        JS: ~<anonymous> node:crypto:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    4.0%        JS: ~<anonymous> node:cluster:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^requireBuiltin node:internal/bootstrap/realm:420:24
      1    4.0%        JS: ~<anonymous> node:child_process:1:1
      1  100.0%          JS: ^compileForInternalLoader node:internal/bootstrap/realm:383:27
      1  100.0%            JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1    3.7%      JS: ~compileForPublicLoader node:internal/bootstrap/realm:331:25
      1  100.0%        JS: ~loadBuiltinModule node:internal/modules/helpers:96:27
      1  100.0%          JS: ~Module._load node:internal/modules/cjs/loader:948:24
      1  100.0%            JS: ~Module.require node:internal/modules/cjs/loader:1222:36
      1    3.7%      JS: ^compileForPublicLoader node:internal/bootstrap/realm:331:25
      1  100.0%        JS: ^loadBuiltinModule node:internal/modules/helpers:96:27
      1  100.0%          JS: ^Module._load node:internal/modules/cjs/loader:948:24
      1  100.0%            JS: ^Module.require node:internal/modules/cjs/loader:1222:36
     14    2.1%    JS: ^internalCompileFunction node:internal/vm:124:33
     11   78.6%      JS: ^wrapSafe node:internal/modules/cjs/loader:1252:18
     11  100.0%        JS: ^Module._compile node:internal/modules/cjs/loader:1321:37
